finOrg_id,name,country_code,region,investment_rounds,invested_companies,milestones,relationships,years_invested
5501,LU Innovation,SWE,Lund,1,1,0,0,0.0
5502,SHS Gesellschaft für Beteiligungsmanagement mbH,DEU,Tübingen,3,3,0,0,5.54
5503,L-Bank,DEU,Karlsruhe,3,2,0,0,7.05
5505,Starlight Investments,USA,Houston,1,1,0,0,0.0
5506,Young Turk Ventures,unknown,unknown,2,1,0,1,1.43
5508,Landa Ventures,unknown,unknown,2,2,0,0,0.59
551,Pacifica Fund,USA,SF Bay,7,4,0,4,7.14
5511,Pi Capital,GBR,London,2,2,0,1,0.41
5513,Monet Capital,USA,SF Bay,1,1,0,0,0.0
5514,BodogBrand,unknown,unknown,1,1,0,0,0.0
5515,Quest Ventures,USA,Phoenix,6,6,0,0,6.86
5516,DTU Innovation,unknown,unknown,2,2,0,0,7.51
5517,Scheer Partners Investments,unknown,unknown,1,1,0,0,0.0
5518,Carilion Biomedical Institute,unknown,unknown,1,1,0,0,0.0
5519,Nationwide Mutual Capital,USA,Columbus,3,3,0,0,8.25
552,Altos Ventures,USA,SF Bay,49,26,2,12,8.03
5520,Trujillo Group,USA,Salt Lake City,1,1,0,1,0.0
5521,NFP fund,unknown,unknown,1,1,0,0,0.0
5522,RENN Capital,USA,Dallas,5,3,0,0,7.36
5523,Crestview Capital,USA,Chicago,2,2,0,0,1.16
5524,Straus Partners,DNK,Holstebro,3,2,0,0,4.73
5525,Straus GEPT,unknown,unknown,1,1,0,0,0.0
5526,Peregrine Ventures,ISR,Or Yehuda,2,2,0,1,6.13
5527,Sage Technology Ventures,unknown,unknown,1,1,0,0,0.0
5528,GEN3 Capital Fund,unknown,unknown,2,1,0,0,0.69
5529,BlueBubbleLab,NLD,Amsterdam,1,1,2,0,0.0
5530,Centripetal Capital Partners,USA,New York,1,1,0,0,0.0
5531,Rock Creek Capital,USA,Jacksonville,1,1,0,0,0.0
5532,Stratum Wealth Management,USA,Palm Beach,1,1,0,0,0.0
5535,Jemison Investment Company,USA,Birmingham,2,2,0,0,7.38
5536,Slovak American Enterprise Fund,SVK,Bratislava,1,1,0,0,0.0
5537,Andersen Advisory Group,DNK,DNK,1,1,0,0,0.0
5538,m8 Capital,GBR,London,14,9,2,9,3.39
5539,DZ Equity Partner,DEU,Germany - Other,1,1,0,1,0.0
5544,GTCR Golder Rauner,USA,Chicago,1,1,2,4,0.0
5545,EXTOREL Management,unknown,unknown,2,2,0,0,6.42
5546,Republic Financial Corporation,USA,Denver,1,1,0,0,0.0
5547,HackFwd,DEU,Hamburg,9,9,2,18,1.9
5548,42 Ventures,USA,Salt Lake City,1,1,0,2,0.0
5551,Ole Jensen Invest,unknown,unknown,1,1,0,0,0.0
5552,Vesterhavet,unknown,unknown,1,1,0,0,0.0
5553,WFD Ventures,USA,New York,3,3,0,1,1.31
5555,Investessor,FRA,Boulogne,1,1,0,0,0.0
5556,Manesman,unknown,unknown,1,1,0,0,0.0
5558,Cava Capital,USA,New York,8,5,0,3,2.72
5559,Next World Capital,USA,SF Bay,10,8,0,3,3.26
556,NeoCarta Ventures,USA,SF Bay,22,11,0,11,8.6
5561,MK Energy and Infrastructure,unknown,unknown,1,1,0,0,0.0
5562,Shannon Development Company,IRL,Co Clare,2,2,0,0,1.71
5564,Mercantile Discount Bank,ISR,Tel Aviv,2,1,0,1,0.38
5565,Juneau Capital,ISR,Tel Aviv,1,1,0,0,0.0
5566,Cybele Holdings,ISR,Ramat Gan,1,1,0,0,0.0
5569,CRP Sante,LUX,Strassen,1,1,0,0,0.0
557,Horizon Group,unknown,unknown,2,2,0,0,0.67
5570,Acquicor Management,unknown,unknown,2,1,0,0,0.53
5571,Foresee Equity Management,DEU,Berlin,1,1,0,0,0.0
5572,Kestrel Capital,KEN,Nairobi,4,4,0,0,5.08
5573,Radical Investments,unknown,unknown,4,4,0,0,7.38
5574,Clal Finance Mutual Funds Ltd,ISR,Tel Aviv,1,1,0,0,0.0
