finOrg_id,name,country_code,city,region,first_investment_at,last_investment_at,investment_rounds,invested_companies,milestones,relationships,years_invested
f:3777,Invemed Catalyst Fund,USA,New York,New York,2007-07-12,2009-10-01,3,2,0,0,2.22
f:3778,Lava Ventures,USA,Los Angeles,Los Angeles,2009-10-30,2009-10-30,1,1,0,3,0.0
f:3779,Leerink Swann,USA,Boston,Boston,2009-10-01,2013-02-21,2,2,0,21,3.39
f:378,.406 Ventures,USA,Boston,Boston,2007-01-22,2013-10-22,39,22,5,13,6.75
f:3780,Enterprise Investors,POL,Warsaw,Warsaw,2005-09-06,2010-07-20,2,2,1,5,4.87
f:3781,William C. Norris Institute at the University of St. Thomas Opus College of Buisness,USA,Minneapolis,Minneapolis,2009-05-01,2009-05-01,1,1,0,0,0.0
f:3784,Virginia Life Science Investments,unknown,unknown,unknown,2009-11-02,2009-11-02,1,1,0,0,0.0
f:3785,Skywalker Ventures,unknown,unknown,unknown,2009-11-02,2009-11-02,1,1,0,0,0.0
f:3786,Maryland Health Care Product Development,USA,Rockville,Washington DC,2009-11-02,2010-06-16,2,2,0,0,0.62
f:3787,ITS-Telecom Ltd,CAN,"Nanaimo, Vancouver",Nanaimo,,,0,0,0,1,
f:3789,Mingly China Growth Fund,CHN,Beijing,Beijing,2009-11-02,2010-10-25,2,1,0,0,0.98
f:379,WI Harper Group,USA,San Francisco,SF Bay,2002-06-01,2013-12-10,38,28,7,31,11.53
f:3790,SFR Development,unknown,unknown,unknown,2009-11-02,2010-10-25,3,2,0,0,0.98
f:3792,Biogen Idec New Ventures,USA,Cambridge,Boston,2006-05-17,2012-01-04,5,3,0,1,5.63
f:3793,IBG Fonds,unknown,unknown,unknown,2009-11-02,2012-05-02,2,2,0,0,2.5
f:3794,Proxima Ventures Ltd,ISR,Tel Aviv,Tel Aviv,2008-01-01,2012-01-23,4,2,0,0,4.06
f:3797,Trumpet Ventures,unknown,unknown,unknown,,,0,0,0,2,
f:3798,Fremont Ventures,unknown,unknown,unknown,2005-02-14,2012-07-01,5,4,0,1,7.38
f:3799,Woodside Capital Partners,USA,Palo Alto,SF Bay,,,0,0,0,3,
f:38,Liberty Associated Partners,USA,Bala Cynwyd,Bala Cynwyd,2005-11-18,2009-02-04,6,3,0,2,3.21
f:380,Fairhaven Capital Partners,USA,Cambridge,Boston,2007-06-01,2013-10-15,24,17,0,12,6.37
f:3800,AOL Ventures,USA,New York,New York,2007-01-01,2013-08-01,34,24,3,21,6.58
f:3801,Abundant Ventures LLC,USA,Bloomfield Hills,Detroit,,,0,0,0,2,
f:3802,Almaz Capital,USA,Menlo Park,SF Bay,2009-11-03,2013-12-11,13,12,3,11,4.1
f:3803,Acquma Holdings,GBR,Kent,Kent,,,0,0,0,3,
f:3804,Headland Ventures,USA,San Rafael,SF Bay,2005-02-01,2009-11-01,4,3,0,1,4.75
f:3805,Kidron,USA,New York,New York,2009-11-01,2009-11-01,1,1,0,4,0.0
f:3806,PROfounders Capital,GBR,London,London,2010-03-21,2013-08-12,17,13,1,3,3.39
f:3807,Empire Ventures,USA,Portland,Portland,2001-06-01,2001-12-31,2,1,0,1,0.58
f:3808,InvestAmerican Investment Advisors,USA,Cedar Rapids,Cedar Rapids,2001-06-01,2001-06-01,1,1,0,2,0.0
f:3809,Founder Collective,USA,New York,New York,2007-06-01,2013-11-22,169,133,1,10,6.48
f:381,Commonwealth Capital Ventures,USA,Boston,Boston,1999-08-02,2013-06-05,49,33,0,16,13.84
f:3810,Bank of Ireland Seed and Early Stage Equity fund,IRL,unknown,Ireland - Other,2010-09-20,2013-09-12,5,5,0,0,2.98
f:3811,Next Chapter Holdings,USA,Highland Park,Chicago,2009-11-05,2009-11-05,1,1,0,0,0.0
f:3813,Merlin Biomed,USA,New York,New York,2005-02-16,2009-11-05,7,6,0,1,4.72
f:3816,Lightyear Capital,USA,New York,New York,2008-08-01,2008-08-01,1,1,0,2,0.0
